Local;Bloco;Trat;altura
L1;B1;T1;20,3
L1;B1;T2;21,7
L1;B1;T3;22
L1;B1;T4;20,8
L1;B1;T5;21,5
L1;B1;T6;19,6
L1;B2;T1;19,6
L1;B2;T2;19,3
L1;B2;T3;24,9
L1;B2;T4;23
L1;B2;T5;22,3
L1;B2;T6;17,7
L1;B3;T1;23,5
L1;B3;T2;16,7
L1;B3;T3;24,4
L1;B3;T4;21,3
L1;B3;T5;22,1
L1;B3;T6;18,7
L1;B4;T1;19,1
L1;B4;T2;18,5
L1;B4;T3;20,8
L1;B4;T4;24,9
L1;B4;T5;21,9
L1;B4;T6;22
L2;B1;T1;10,2
L2;B1;T2;16,1
L2;B1;T3;17,7
L2;B1;T4;13,5
L2;B1;T5;20,5
L2;B1;T6;12
L2;B2;T1;11,7
L2;B2;T2;10,8
L2;B2;T3;13,1
L2;B2;T4;14,4
L2;B2;T5;12,5
L2;B2;T6;13
L2;B3;T1;9,1
L2;B3;T2;10,9
L2;B3;T3;14,2
L2;B3;T4;11,2
L2;B3;T5;11,3
L2;B3;T6;12,3
L2;B4;T1;8,1
L2;B4;T2;10,3
L2;B4;T3;11
L2;B4;T4;12,8
L2;B4;T5;12,2
L2;B4;T6;10,6
L3;B1;T1;22,7
L3;B1;T2;22,6
L3;B1;T3;21,4
L3;B1;T4;25
L3;B1;T5;26,4
L3;B1;T6;20,6
L3;B2;T1;21,4
L3;B2;T2;21,4
L3;B2;T3;21,7
L3;B2;T4;23,6
L3;B2;T5;26,4
L3;B2;T6;23,5
L3;B3;T1;22,9
L3;B3;T2;20,7
L3;B3;T3;22,5
L3;B3;T4;23,3
L3;B3;T5;28
L3;B3;T6;19,4
L3;B4;T1;22
L3;B4;T2;20,8
L3;B4;T3;19,4
L3;B4;T4;24,8
L3;B4;T5;27,3
L3;B4;T6;21,9
